time,src_ip,protocol,length
2026-01-15 23:58:09.891013,4.237.22.41,TLS,1466
2026-01-15 23:58:09.891038,192.168.1.14,TCP,54
2026-01-15 23:58:09.891521,4.237.22.41,TLS,233
2026-01-15 23:58:09.891875,192.168.1.14,TLS,118
2026-01-15 23:58:09.892108,192.168.1.14,TLS,146
2026-01-15 23:58:09.892318,192.168.1.14,TLS,911
2026-01-15 23:58:09.892405,192.168.1.14,TLS,8319
2026-01-15 23:58:09.893477,104.208.16.88,TCP,56
2026-01-15 23:58:09.895002,104.208.16.88,TLS,157
2026-01-15 23:58:09.896323,104.208.16.88,TCP,56
2026-01-15 23:58:09.896527,104.208.16.88,TCP,56
2026-01-15 23:58:09.900619,104.208.16.88,TLS,518
2026-01-15 23:58:09.900670,192.168.1.14,TCP,54
2026-01-15 23:58:09.901133,192.168.1.14,TLS,78
2026-01-15 23:58:09.901215,192.168.1.14,TCP,54
2026-01-15 23:58:09.940475,52.212.178.60,TCP,66
2026-01-15 23:58:10.028165,4.237.22.41,TLS,133
2026-01-15 23:58:10.028342,4.237.22.41,TLS,133
2026-01-15 23:58:10.028381,192.168.1.14,TCP,54
2026-01-15 23:58:10.028657,4.237.22.41,TLS,118
2026-01-15 23:58:10.028801,192.168.1.14,TLS,85
2026-01-15 23:58:10.030469,4.237.22.41,TCP,56
2026-01-15 23:58:10.030753,4.237.22.41,TCP,56
2026-01-15 23:58:10.031232,4.237.22.41,TCP,56
2026-01-15 23:58:10.031628,4.237.22.41,TLS,102
2026-01-15 23:58:10.073352,192.168.1.14,TCP,54
2026-01-15 23:58:10.090906,3.232.202.113,TCP,66
2026-01-15 23:58:10.090977,192.168.1.14,TCP,54
2026-01-15 23:58:10.092634,192.168.1.14,TLS,343
2026-01-15 23:58:10.154866,104.208.16.88,TCP,56
2026-01-15 23:58:10.170349,4.237.22.41,TLS,553
2026-01-15 23:58:10.173098,4.237.22.41,TLS,141
2026-01-15 23:58:10.173153,192.168.1.14,TCP,54
2026-01-15 23:58:10.218883,4.237.22.41,TLS,99
2026-01-15 23:58:10.261762,192.168.1.14,TCP,54
2026-01-15 23:58:10.322432,3.232.202.113,TCP,54
2026-01-15 23:58:10.323537,3.232.202.113,TLS,1466
2026-01-15 23:58:10.325524,3.232.202.113,TCP,1466
2026-01-15 23:58:10.325524,3.232.202.113,TLS,1466
