time,src_ip,dst_ip,protocol,length
2026-01-13 21:48:29.338202,IPv6,IPv6,DATA,92
2026-01-13 21:48:29.341537,IPv6,IPv6,DATA,87
2026-01-13 21:48:29.406384,IPv6,IPv6,DATA,89
2026-01-13 21:48:29.559046,3.221.141.237,192.168.8.122,TCP,54
2026-01-13 21:48:29.559161,192.168.8.122,3.221.141.237,TCP,54
2026-01-13 21:48:29.599761,IPv6,IPv6,TLS,112
2026-01-13 21:48:29.645844,192.168.8.189,239.255.255.250,SSDP,212
2026-01-13 21:48:29.711937,IPv6,IPv6,TLS,223
2026-01-13 21:48:29.712104,IPv6,IPv6,TCP,74
2026-01-13 21:48:29.714099,IPv6,IPv6,TLS,200
2026-01-13 21:48:29.714099,IPv6,IPv6,TLS,105
2026-01-13 21:48:29.714262,IPv6,IPv6,TCP,74
2026-01-13 21:48:30.179873,IPv6,IPv6,TCP,86
2026-01-13 21:48:30.378970,IPv6,IPv6,TCP,86
2026-01-13 21:48:30.379155,IPv6,IPv6,TCP,74
2026-01-13 21:48:30.392588,IPv6,IPv6,TLS,551
2026-01-13 21:48:30.584358,IPv6,IPv6,TLS,1474
2026-01-13 21:48:30.584358,IPv6,IPv6,TCP,1474
2026-01-13 21:48:30.584533,IPv6,IPv6,TCP,74
2026-01-13 21:48:30.587758,IPv6,IPv6,TCP,1474
2026-01-13 21:48:30.587758,IPv6,IPv6,TLS,192
2026-01-13 21:48:30.587904,IPv6,IPv6,TCP,74
2026-01-13 21:48:30.619843,IPv6,IPv6,TLS,154
2026-01-13 21:48:30.620526,IPv6,IPv6,TLS,154
2026-01-13 21:48:30.620879,IPv6,IPv6,TLS,536
2026-01-13 21:48:30.621211,IPv6,IPv6,TLS,3452
2026-01-13 21:48:30.621433,IPv6,IPv6,TLS,105
2026-01-13 21:48:30.667722,192.168.8.189,239.255.255.250,SSDP,212
2026-01-13 21:48:30.709613,IPv6,IPv6,ARP,42
2026-01-13 21:48:30.709659,IPv6,IPv6,ARP,42
2026-01-13 21:48:30.768273,IPv6,IPv6,TCP,74
2026-01-13 21:48:30.768273,IPv6,IPv6,TCP,74
2026-01-13 21:48:30.768273,IPv6,IPv6,TLS,177
2026-01-13 21:48:30.768273,IPv6,IPv6,TLS,136
2026-01-13 21:48:30.768471,IPv6,IPv6,TCP,74
2026-01-13 21:48:30.770750,IPv6,IPv6,TLS,105
2026-01-13 21:48:30.781873,IPv6,IPv6,TLS,105
2026-01-13 21:48:30.782150,IPv6,IPv6,TCP,74
2026-01-13 21:48:30.854172,IPv6,IPv6,TLS,1474
2026-01-13 21:48:30.854172,IPv6,IPv6,TLS,442
2026-01-13 21:48:30.854271,IPv6,IPv6,TCP,74
2026-01-13 21:48:30.954686,IPv6,IPv6,TCP,74
2026-01-13 21:48:31.124735,IPv6,IPv6,DATA,232
2026-01-13 21:48:31.128299,IPv6,IPv6,TCP,74
2026-01-13 21:48:31.204317,IPv6,IPv6,DATA,93
2026-01-13 21:48:31.244108,IPv6,IPv6,DATA,95
2026-01-13 21:48:31.409685,IPv6,IPv6,DATA,369
2026-01-13 21:48:31.409685,IPv6,IPv6,DATA,1514
2026-01-13 21:48:31.409685,IPv6,IPv6,DATA,1514
2026-01-13 21:48:31.409685,IPv6,IPv6,DATA,1514
2026-01-13 21:48:31.409685,IPv6,IPv6,DATA,1514
2026-01-13 21:48:31.409685,IPv6,IPv6,DATA,1514
2026-01-13 21:48:31.409685,IPv6,IPv6,DATA,1514
2026-01-13 21:48:31.410528,IPv6,IPv6,DATA,98
2026-01-13 21:48:31.410738,IPv6,IPv6,DATA,94
2026-01-13 21:48:31.410850,IPv6,IPv6,DATA,94
2026-01-13 21:48:31.415396,IPv6,IPv6,DATA,1514
2026-01-13 21:48:31.415804,IPv6,IPv6,DATA,94
2026-01-13 21:48:31.422872,IPv6,IPv6,DATA,1514
2026-01-13 21:48:31.429177,IPv6,IPv6,DATA,1514
2026-01-13 21:48:31.429726,IPv6,IPv6,DATA,94
2026-01-13 21:48:31.442264,IPv6,IPv6,DATA,1514
2026-01-13 21:48:31.442264,IPv6,IPv6,DATA,1514
2026-01-13 21:48:31.442264,IPv6,IPv6,DATA,1514
2026-01-13 21:48:31.442770,IPv6,IPv6,DATA,94
2026-01-13 21:48:31.456934,IPv6,IPv6,DATA,1514
2026-01-13 21:48:31.456934,IPv6,IPv6,DATA,1514
2026-01-13 21:48:31.456934,IPv6,IPv6,DATA,1514
2026-01-13 21:48:31.456934,IPv6,IPv6,DATA,1102
2026-01-13 21:48:31.456934,IPv6,IPv6,DATA,86
2026-01-13 21:48:31.457565,IPv6,IPv6,DATA,94
2026-01-13 21:48:31.458051,IPv6,IPv6,DATA,94
2026-01-13 21:48:31.458395,IPv6,IPv6,DATA,94
2026-01-13 21:48:31.516409,IPv6,IPv6,DATA,87
2026-01-13 21:48:31.712901,192.168.8.189,239.255.255.250,SSDP,212
2026-01-13 21:48:32.289041,IPv6,IPv6,TLS,75
2026-01-13 21:48:32.289146,IPv6,IPv6,TLS,75
2026-01-13 21:48:32.336991,IPv6,IPv6,TLS,75
2026-01-13 21:48:32.372940,IPv6,IPv6,TCP,86
2026-01-13 21:48:32.372940,IPv6,IPv6,TCP,86
2026-01-13 21:48:32.411656,IPv6,IPv6,TCP,86
2026-01-13 21:48:32.462645,192.168.8.122,108.158.46.39,TLS,55
2026-01-13 21:48:32.552300,108.158.46.39,192.168.8.122,TCP,66
2026-01-13 21:48:32.555611,192.168.8.122,108.158.46.39,TLS,55
2026-01-13 21:48:32.633587,108.158.46.39,192.168.8.122,TCP,66
2026-01-13 21:48:32.679455,148.113.20.98,192.168.8.122,TCP,54
2026-01-13 21:48:32.679530,192.168.8.122,148.113.20.98,TCP,54
2026-01-13 21:48:32.710636,192.168.8.122,148.113.20.98,DATA,55
2026-01-13 21:48:33.040704,148.113.20.98,192.168.8.122,TCP,66
2026-01-13 21:48:33.102290,192.168.8.122,140.82.113.21,TLS,55
2026-01-13 21:48:33.450635,140.82.113.21,192.168.8.122,TCP,66
2026-01-13 21:48:34.163894,IPv6,IPv6,DATA,1286
2026-01-13 21:48:34.164312,IPv6,IPv6,DATA,1292
2026-01-13 21:48:34.164428,IPv6,IPv6,DATA,1092
2026-01-13 21:48:34.255676,IPv6,IPv6,DATA,91
2026-01-13 21:48:34.285558,IPv6,IPv6,DATA,95
2026-01-13 21:48:34.299490,IPv6,IPv6,DATA,87
2026-01-13 21:48:34.384716,IPv6,IPv6,DATA,146
2026-01-13 21:48:34.384716,IPv6,IPv6,DATA,83
2026-01-13 21:48:34.385667,IPv6,IPv6,DATA,98
2026-01-13 21:48:34.479194,IPv6,IPv6,DATA,87
2026-01-13 21:48:34.756150,IPv6,IPv6,TLS,144
2026-01-13 21:48:34.830877,IPv6,IPv6,TCP,74
2026-01-13 21:48:34.860855,192.168.8.122,142.250.195.68,ICMP,74
2026-01-13 21:48:34.932187,142.250.195.68,192.168.8.122,ICMP,74
2026-01-13 21:48:35.020688,IPv6,IPv6,TLS,146
2026-01-13 21:48:35.061603,IPv6,IPv6,TCP,74
2026-01-13 21:48:35.880959,192.168.8.122,142.250.195.68,ICMP,74
2026-01-13 21:48:35.951303,142.250.195.68,192.168.8.122,ICMP,74
2026-01-13 21:48:36.895176,192.168.8.122,142.250.195.68,ICMP,74
2026-01-13 21:48:36.960912,142.250.195.68,192.168.8.122,ICMP,74
2026-01-13 21:48:37.296950,IPv6,IPv6,DNS,94
2026-01-13 21:48:37.297026,IPv6,IPv6,DNS,94
2026-01-13 21:48:37.330818,IPv6,IPv6,DNS,324
2026-01-13 21:48:37.344720,IPv6,IPv6,DNS,288
2026-01-13 21:48:37.921714,192.168.8.122,142.250.195.68,ICMP,74
2026-01-13 21:48:37.988827,142.250.195.68,192.168.8.122,ICMP,74
2026-01-13 21:48:42.257697,IPv6,IPv6,TLS,98
2026-01-13 21:48:42.259376,IPv6,IPv6,TLS,102
2026-01-13 21:48:42.462772,IPv6,IPv6,TCP,74
2026-01-13 21:48:42.794531,IPv6,IPv6,ARP,42
2026-01-13 21:48:42.797255,IPv6,IPv6,ARP,42
2026-01-13 21:48:42.809744,IPv6,IPv6,ICMPV6,86
2026-01-13 21:48:42.814415,IPv6,IPv6,ICMPV6,86
2026-01-13 21:48:42.973458,148.113.20.98,192.168.8.122,TCP,54
2026-01-13 21:48:42.973562,192.168.8.122,148.113.20.98,TCP,54
2026-01-13 21:48:43.046468,192.168.8.122,148.113.20.98,DATA,55
2026-01-13 21:48:43.384893,148.113.20.98,192.168.8.122,TCP,66
2026-01-13 21:48:44.555088,192.168.8.122,192.168.8.1,DNS,79
2026-01-13 21:48:44.555810,192.168.8.122,192.168.8.1,DNS,79
2026-01-13 21:48:44.556298,192.168.8.122,192.168.8.1,DNS,79
2026-01-13 21:48:44.606139,192.168.8.1,192.168.8.122,DNS,310
2026-01-13 21:48:44.607212,192.168.8.1,192.168.8.122,DNS,286
2026-01-13 21:48:44.608296,192.168.8.1,192.168.8.122,DNS,326
2026-01-13 21:48:44.610141,IPv6,IPv6,TCP,86
2026-01-13 21:48:44.673248,13.107.6.158,192.168.8.122,TCP,54
2026-01-13 21:48:44.688583,IPv6,IPv6,TCP,86
2026-01-13 21:48:44.688873,IPv6,IPv6,TCP,74
2026-01-13 21:48:44.691698,IPv6,IPv6,TLS,2170
2026-01-13 21:48:44.776875,IPv6,IPv6,TCP,74
2026-01-13 21:48:44.776875,IPv6,IPv6,TCP,74
2026-01-13 21:48:44.806402,IPv6,IPv6,TLS,173
2026-01-13 21:48:44.807808,IPv6,IPv6,TLS,984
2026-01-13 21:48:44.839708,3.221.141.237,192.168.8.122,TCP,54
2026-01-13 21:48:44.839780,192.168.8.122,3.221.141.237,TCP,54
2026-01-13 21:48:44.891923,IPv6,IPv6,TLS,355
2026-01-13 21:48:44.893158,IPv6,IPv6,TLS,148
2026-01-13 21:48:44.893633,IPv6,IPv6,TLS,166
2026-01-13 21:48:44.894089,IPv6,IPv6,TLS,347
2026-01-13 21:48:44.970832,IPv6,IPv6,TCP,74
2026-01-13 21:48:44.971632,IPv6,IPv6,TLS,145
2026-01-13 21:48:44.972166,IPv6,IPv6,TLS,105
2026-01-13 21:48:44.980871,IPv6,IPv6,TLS,1474
2026-01-13 21:48:44.981023,IPv6,IPv6,TCP,74
2026-01-13 21:48:44.985728,IPv6,IPv6,TCP,1474
2026-01-13 21:48:44.985879,IPv6,IPv6,TCP,74
2026-01-13 21:48:44.986409,IPv6,IPv6,TCP,1474
2026-01-13 21:48:44.986500,IPv6,IPv6,TCP,74
2026-01-13 21:48:44.989746,IPv6,IPv6,TCP,1474
2026-01-13 21:48:44.989898,IPv6,IPv6,TCP,74
2026-01-13 21:48:44.997456,IPv6,IPv6,TCP,1474
2026-01-13 21:48:44.997592,IPv6,IPv6,TCP,74
2026-01-13 21:48:45.000713,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.000869,IPv6,IPv6,TCP,74
2026-01-13 21:48:45.004949,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.004949,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.004949,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.005116,IPv6,IPv6,TCP,74
2026-01-13 21:48:45.007753,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.007862,IPv6,IPv6,TCP,74
2026-01-13 21:48:45.010711,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.010825,IPv6,IPv6,TCP,74
2026-01-13 21:48:45.040838,IPv6,IPv6,TLS,1474
2026-01-13 21:48:45.040838,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.040983,IPv6,IPv6,TCP,74
2026-01-13 21:48:45.045930,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.045930,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.046041,IPv6,IPv6,TCP,74
2026-01-13 21:48:45.061775,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.061892,IPv6,IPv6,TCP,74
2026-01-13 21:48:45.070565,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.070565,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.070694,IPv6,IPv6,TCP,74
2026-01-13 21:48:45.079992,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.079992,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.080152,IPv6,IPv6,TCP,74
2026-01-13 21:48:45.083835,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.083835,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.083835,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.083835,IPv6,IPv6,TLS,1474
2026-01-13 21:48:45.084054,IPv6,IPv6,TCP,74
2026-01-13 21:48:45.084192,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.087350,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.087456,IPv6,IPv6,TCP,74
2026-01-13 21:48:45.090523,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.094524,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.094634,IPv6,IPv6,TCP,74
2026-01-13 21:48:45.095415,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.100291,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.100356,IPv6,IPv6,TCP,74
2026-01-13 21:48:45.105991,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.109344,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.109420,IPv6,IPv6,TCP,74
2026-01-13 21:48:45.110287,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.114543,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.114543,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.114641,IPv6,IPv6,TCP,74
2026-01-13 21:48:45.117326,IPv6,IPv6,TLS,1474
2026-01-13 21:48:45.117407,IPv6,IPv6,TCP,74
2026-01-13 21:48:45.121284,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.121284,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.121512,IPv6,IPv6,TCP,74
2026-01-13 21:48:45.124674,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.125749,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.125973,IPv6,IPv6,TCP,74
2026-01-13 21:48:45.127312,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.130418,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.130508,IPv6,IPv6,TCP,74
2026-01-13 21:48:45.143306,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.146758,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.146813,IPv6,IPv6,TCP,74
2026-01-13 21:48:45.149349,IPv6,IPv6,TCP,1474
2026-01-13 21:48:45.203022,IPv6,IPv6,TCP,74
2026-01-13 21:48:45.592227,IPv6,IPv6,ARP,42
2026-01-13 21:48:46.042412,IPv6,IPv6,TLS,1443
2026-01-13 21:48:46.042412,IPv6,IPv6,ARP,42
2026-01-13 21:48:46.042412,IPv6,IPv6,TCP,1443
2026-01-13 21:48:46.042559,IPv6,IPv6,TCP,86
2026-01-13 21:48:46.401496,IPv6,IPv6,TLS,75
2026-01-13 21:48:46.493892,IPv6,IPv6,TCP,74
2026-01-13 21:48:46.732043,IPv6,IPv6,ICMPV6,86
2026-01-13 21:48:46.736884,IPv6,IPv6,ICMPV6,86
2026-01-13 21:48:47.172466,IPv6,IPv6,TLS,176
2026-01-13 21:48:47.172466,IPv6,IPv6,TLS,171
2026-01-13 21:48:47.172625,IPv6,IPv6,TCP,74
2026-01-13 21:48:47.208292,IPv6,IPv6,TLS,174
2026-01-13 21:48:47.230925,IPv6,IPv6,TLS,169
2026-01-13 21:48:47.284230,IPv6,IPv6,TCP,74
2026-01-13 21:48:47.311996,IPv6,IPv6,TCP,74
2026-01-13 21:48:47.787081,IPv6,IPv6,TCP,74
2026-01-13 21:48:47.929759,192.168.8.122,192.168.8.189,ICMP,74
2026-01-13 21:48:47.936216,192.168.8.189,192.168.8.122,ICMP,74
2026-01-13 21:48:48.946095,192.168.8.122,192.168.8.189,ICMP,74
2026-01-13 21:48:48.950525,192.168.8.189,192.168.8.122,ICMP,74
2026-01-13 21:48:49.959801,192.168.8.122,192.168.8.189,ICMP,74
2026-01-13 21:48:49.963974,192.168.8.189,192.168.8.122,ICMP,74
2026-01-13 21:48:50.798200,IPv6,IPv6,TLS,164
2026-01-13 21:48:50.961098,IPv6,IPv6,TCP,74
2026-01-13 21:48:50.974067,192.168.8.122,192.168.8.189,ICMP,74
2026-01-13 21:48:50.976865,192.168.8.189,192.168.8.122,ICMP,74
2026-01-13 21:48:51.168758,IPv6,IPv6,TLS,153
2026-01-13 21:48:51.209859,IPv6,IPv6,TCP,74
2026-01-13 21:48:51.780593,IPv6,IPv6,ICMPV6,86
2026-01-13 21:48:51.780706,IPv6,IPv6,ICMPV6,86
2026-01-13 21:48:51.862422,IPv6,IPv6,TLS,120
2026-01-13 21:48:51.863639,IPv6,IPv6,TLS,105
2026-01-13 21:48:51.863725,IPv6,IPv6,TCP,74
2026-01-13 21:48:51.863751,IPv6,IPv6,TCP,74
2026-01-13 21:48:51.864025,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.087782,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.316496,IPv6,IPv6,ARP,42
2026-01-13 21:48:52.320182,IPv6,IPv6,ARP,42
2026-01-13 21:48:52.331450,IPv6,IPv6,ICMPV6,86
2026-01-13 21:48:52.339169,IPv6,IPv6,ICMPV6,86
2026-01-13 21:48:52.458541,IPv6,IPv6,TLS,164
2026-01-13 21:48:52.478010,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.478273,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.478753,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.513643,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.513643,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.513643,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.513747,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.513778,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.513795,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.513801,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.514112,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.514415,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.514876,IPv6,IPv6,DNS,106
2026-01-13 21:48:52.514903,IPv6,IPv6,DNS,106
2026-01-13 21:48:52.514967,IPv6,IPv6,DNS,106
2026-01-13 21:48:52.516162,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.516304,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.516422,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.518120,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.518285,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.518374,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.518583,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.518681,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.518799,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.520957,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.521228,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.521478,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.537537,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.547530,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.547530,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.547669,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.547723,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.548093,IPv6,IPv6,DNS,121
2026-01-13 21:48:52.548139,IPv6,IPv6,DNS,136
2026-01-13 21:48:52.548778,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.548778,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.548778,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.548778,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.548778,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.548778,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.549032,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.549080,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.549098,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.549122,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.549149,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.549172,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.549299,IPv6,IPv6,DNS,311
2026-01-13 21:48:52.549299,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.549299,IPv6,IPv6,DNS,373
2026-01-13 21:48:52.549299,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.549299,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.549299,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.549475,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.549522,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.549816,IPv6,IPv6,DNS,106
2026-01-13 21:48:52.549879,IPv6,IPv6,DNS,103
2026-01-13 21:48:52.549976,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.549998,IPv6,IPv6,DNS,118
2026-01-13 21:48:52.550034,IPv6,IPv6,DNS,121
2026-01-13 21:48:52.550093,IPv6,IPv6,DNS,103
2026-01-13 21:48:52.550136,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.550170,IPv6,IPv6,DNS,136
2026-01-13 21:48:52.550282,IPv6,IPv6,DNS,106
2026-01-13 21:48:52.550299,IPv6,IPv6,DNS,121
2026-01-13 21:48:52.551254,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.551254,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.551254,IPv6,IPv6,DNS,377
2026-01-13 21:48:52.551254,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.551402,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.551436,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.551446,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.551995,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.552489,IPv6,IPv6,DNS,106
2026-01-13 21:48:52.552575,IPv6,IPv6,DNS,118
2026-01-13 21:48:52.552578,IPv6,IPv6,DNS,136
2026-01-13 21:48:52.555121,IPv6,IPv6,QUIC,1292
2026-01-13 21:48:52.555273,IPv6,IPv6,QUIC,1292
2026-01-13 21:48:52.558365,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.558797,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.558990,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.649947,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.650472,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.650660,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.651767,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.651918,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.652036,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.692758,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.693208,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.693402,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.783077,IPv6,IPv6,ARP,42
2026-01-13 21:48:52.798208,IPv6,IPv6,TCP,136
2026-01-13 21:48:52.798334,IPv6,IPv6,TCP,136
2026-01-13 21:48:52.798371,IPv6,IPv6,TCP,103
2026-01-13 21:48:52.798411,IPv6,IPv6,TCP,103
2026-01-13 21:48:52.798446,IPv6,IPv6,TCP,118
2026-01-13 21:48:52.798511,IPv6,IPv6,TCP,121
2026-01-13 21:48:52.798549,IPv6,IPv6,TCP,106
2026-01-13 21:48:52.798590,IPv6,IPv6,TCP,106
2026-01-13 21:48:52.798639,IPv6,IPv6,TCP,136
2026-01-13 21:48:52.799579,IPv6,IPv6,TCP,86
2026-01-13 21:48:52.799579,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.799579,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.799579,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.799579,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.799579,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.799579,IPv6,IPv6,DNS,204
2026-01-13 21:48:52.799579,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.799579,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.799579,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.799579,IPv6,IPv6,DNS,251
2026-01-13 21:48:52.799579,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.799579,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.799579,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.799579,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.799579,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.799579,IPv6,IPv6,TCP,74
2026-01-13 21:48:52.799579,IPv6,IPv6,DNS,409
